robot,grid_x,grid_y,orientation,action_1,action_2,action_3,action_4,action_5
robot1,5,4,SW,7.993827160493826,0,0,0,0
robot1,5,3,SW,8.450231481481477,0,0,0,0
robot1,5,3,S,8.450231481481477,0,0,0,0
robot1,4,3,S,9.490740740740739,0,0,0,0
robot1,4,3,SE,9.490740740740739,0,0,0,0
robot1,3,3,SE,8.450231481481477,0,0,0,0
robot1,3,3,E,0,0,0,0,0
robot1,6,7,W,-2.999450231481484,-58.10027970679012,0,0,0
robot1,6,6,W,-224.07426152223184,0,0,0,0
robot1,5,5,SW,-140.81579836998455,-11.851851851851851,-167.02366415895062,-21.38888888888889,-26.38888888888889
robot1,4,5,S,8.756944444444446,0,0,0,0
robot1,4,4,S,8.148148148148149,0,0,0,0
robot1,3,4,S,0,0,0,0,0
robot2,-3,-7,E,7.530864197530864,0,0,0,0
robot2,-3,-6,E,2.530864197530864,0,0,0,0
